Question,Option A,Option B,Option C,Option D,Correct Answer
What is SQL?,Programming Language,Query Language,Web Browser,Framework,Query Language
What is a variable in programming?,A fixed value,A storage location for data,A database,An operator,A storage location for data
Which symbol is used for comments in JavaScript?,//,##,<!-- -->,**,//
What is cloud computing?,Local Storage,Internet-based computing services,Computer Hardware,Operating System,Internet-based computing services
What is the full form of CPU?,Central Program Unit,Central Processing Unit,Computer Processing Unit,Control Processing Unit,Central Processing Unit
Which HTML tag is used for links?,<img>,<div>,<a>,<p>,<a>
What is debugging?,Writing Code,Finding and fixing errors,Deleting files,Installing software,Finding and fixing errors
Which company developed Java?,Microsoft,Apple,Sun Microsystems,IBM,Sun Microsystems
What is cybersecurity?,Game Development,Protection of systems and data,Web Designing,Database Creation,Protection of systems and data
What does URL stand for?,Uniform Resource Locator,Universal Resource Link,Uniform Reference Link,User Resource Locator,Uniform Resource Locator
