Question,Option A,Option B,Option C,Option D,Correct Answer
What is HTML?,Programming Language,Markup Language,Database,Operating System,Markup Language
What is CSS used for?,Styling Web Pages,Database Management,Server Hosting,Game Development,Styling Web Pages
Which language is used for web interactivity?,Python,C++,JavaScript,Java,JavaScript
What does MERN stand for?,"MongoDB, Express, React, Node","MySQL, Express, React, Node","MongoDB, Excel, React, Node","MongoDB, Express, Ruby, Node","MongoDB, Express, React, Node"
What is MongoDB?,Relational Database,NoSQL Database,Programming Language,Web Browser,NoSQL Database
What is React?,Database,Operating System,JavaScript Library,Compiler,JavaScript Library
What is Node.js?,Browser,Server Runtime,Database,Text Editor,Server Runtime
What is an API?,Code Editor,Application Programming Interface,Database,Cloud Storage,Application Programming Interface
Which company developed React?,Google,Microsoft,Facebook,Amazon,Facebook
What is Git used for?,Video Editing,Version Control,Graphic Design,Animation,Version Control
